"ID","NAMES","total_AsTheCowRolls_POT_0"
"91226","Etrechy",2851
"91228","Evry",25136
"91232","La Ferte-Alais",2132
"91235","Fleury-Merogis",2886
"91240","Fontaine-la-Riviere",148
"91243","Fontenay-les-Briis",992
"91244","Fontenay-le-Vicomte",612
"91247","La Foret-le-Roi",236
"91248","La Foret-Sainte-Croix",72
"91249","Forges-les-Bains",2065
"91272","Gif-sur-Yvette",9509
"91273","Gironville-sur-Essonne",412
"91274","Gometz-la-Ville",758
"91275","Gometz-le-Chatel",1275
"91284","Les Granges-le-Roi",531
"91286","Grigny",11588
"91292","Guibeville",408
"91293","Guigneville-sur-Essonne",442
"91294","Guillerval",376
"91312","Igny",5012
"91315","Itteville",3452
"91318","Janville-sur-Juine",926
"91319","Janvry",301
"91326","Juvisy-sur-Orge",8055
"91330","Lardy",2815
"91332","Leudeville",782
"91333","Leuville-sur-Orge",2093
"91338","Limours",3150
"91339","Linas",3362
"91340","Lisses",3865
"91345","Longjumeau",10872
"91347","Longpont-sur-Orge",3256
"91359","Maisse",1344
"91363","Marcoussis",4008
"91374","Marolles-en-Beauce",120
