"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.01"
"77512","Villeneuve-sur-Bellot",20185.8041082176
"77513","Villenoy",6169.1700635563
"77514","Villeparisis",3753.52881034053
"77515","Villeroy",8389.2779815671
"77516","Ville-Saint-Jacques",13033.6352367015
"77517","Villevaude",4861.63900249752
"77518","Villiers-en-Biere",6466.14880675509
"77519","Villiers-Saint-Georges",23537.9065453047
"77520","Villiers-sous-Grez",14596.8173316139
"77521","Villiers-sur-Morin",8937.69924358897
"77522","Villiers-sur-Seine",25860.9638496449
"77523","Villuis",26311.3945191076
"77524","Vimpelles",17457.4284661814
"77525","Vinantes",8732.8463614347
"77526","Vincy-Manoeuvre",13804.6318209967
"77527","Voinsles",14953.0564183303
"77528","Voisenon",5112.46620663274
"77529","Voulangis",9639.2972198945
"77530","Voulton",21222.042322287
"77531","Voulx",17289.807589044
"77532","Vulaines-les-Provins",18042.84535587
"77533","Vulaines-sur-Seine",10728.4131999894
"77534","Yebles",10233.4396859278
"78003","Ablis",18049.9844215134
"78005","Acheres",4099.28806534248
"78006","Adainville",17729.2900156155
"78007","Aigremont",6328.90756639335
"78009","Allainville",18308.9884102105
"78010","Les Alluets-le-Roi",7636.75396636803
"78013","Andelu",9599.3134685596
"78015","Andresy",4043.89591992507
"78020","Arnouville-les-Mantes",8782.73934951891
"78029","Aubergenville",6152.39406255191
"78030","Auffargis",10281.8861361645
"78031","Auffreville-Brasseuil",5621.90619228482
"78033","Aulnay-sur-Mauldre",7716.91883725116
"78034","Auteuil",10400.2275916006
"78036","Autouillet",10845.6431201928
"78043","Bailly",5329.5576045051
"78048","Bazainville",15064.5911825183
"78049","Bazemont",7368.10734322005
"78050","Bazoches-sur-Guyonne",8783.14786469356
"78053","Behoust",12772.3867706088
"78057","Bennecourt",11520.1660063526
"78062","Beynes",9016.47700670528
"78068","Blaru",16450.3325743987
"78070","Boinville-en-Mantois",7442.87552210432
"78071","Boinville-le-Gaillard",18459.7924693534
"78072","Boinvilliers",9015.37357014349
"78073","Bois-d'Arcy",4227.20988146374
"78076","Boissets",15059.1015119798
"78077","La Boissiere-Ecole",18392.8197650651
"78082","Boissy-Mauvoisin",9783.9507593173
"78084","Boissy-sans-Avoir",11032.2707289753
"78087","Bonnelles",11109.6526966566
"78089","Bonnieres-sur-Seine",10409.5063991587
"78090","Bouafle",5713.25916440612
"78092","Bougival",4007.66944956841
"78096","Bourdonne",17022.868693009
"78104","Breuil-Bois-Robert",6450.8398984284
"78107","Breval",12400.4331257807
"78108","Les Breviaires",11330.5698712135
"78113","Brueil-en-Vexin",7094.82315584515
"78117","Buc",5588.7817844375
"78118","Buchelay",4489.77832879335
"78120","Bullion",11675.8585182788
"78123","Carrieres-sous-Poissy",4821.91682349323
"78124","Carrieres-sur-Seine",2481.6989894693
"78125","La Celle-les-Bordes",11532.3374885883
"78126","La Celle-Saint-Cloud",4355.58407633794
"78128","Cernay-la-Ville",10226.6843543887
"78133","Chambourcy",6057.5560750359
"78138","Chanteloup-les-Vignes",4298.78220738276
"78140","Chapet",5257.66415157246
"78143","Chateaufort",6504.49926453221
"78146","Chatou",3214.63235003897
"78147","Chaufour-les-Bonnieres",15584.3519635759
"78152","Chavenay",6386.93254661793
"78158","Le Chesnay",4699.85587106281
"78160","Chevreuse",7856.9578287807
"78162","Choisel",9589.48193482527
"78163","Civry-la-Foret",13771.5558297852
"78164","Clairefontaine-en-Yvelines",13176.2180435825
"78165","Les Clayes-sous-Bois",4732.01161031556
"78168","Coignieres",6621.78329788833
"78171","Conde-sur-Vesgre",16879.0411388119
"78172","Conflans-Sainte-Honorine",3497.26065065676
"78185","Courgent",10742.8076975911
"78188","Cravent",15414.0304774382
"78189","Crespieres",8129.05998370876
"78190","Croissy-sur-Seine",3834.33988547057
"78192","Dammartin-en-Serve",10930.7017226074
"78193","Dampierre-en-Yvelines",8244.6847526048
"78194","Dannemarie",18292.0333006881
"78196","Davron",7583.82007132424
"78202","Drocourt",8200.94741423902
"78206","Ecquevilly",6188.51822894461
"78208","Elancourt",3899.0615946185
"78209","Emance",19561.2744300921
"78217","Epone",6750.32507990193
"78220","Les Essarts-le-Roi",8816.63540676069
"78224","L'Etang-la-Ville",5863.40580087401
"78227","Evecquemont",5435.63775099261
"78230","La Falaise",7337.94631057436
"78231","Favrieux",7977.68850293733
"78233","Feucherolles",7277.14199689042
