"ID","NAMES","artisans_AsTheCowRolls_POT_10"
"78138","Chanteloup-les-Vignes",4652.92311498
"78140","Chapet",2429.32450174
"78143","Chateaufort",3172.26461344
"78146","Chatou",17821.62454692
"78147","Chaufour-les-Bonnieres",442.80953735
"78152","Chavenay",2918.26007418
"78158","Le Chesnay",12852.56433404
"78160","Chevreuse",1360.6728761
"78162","Choisel",1124.24874904
"78163","Civry-la-Foret",369.65136973
"78164","Clairefontaine-en-Yvelines",912.64990186
"78165","Les Clayes-sous-Bois",3281.80357516
"78168","Coignieres",1933.63659541
"78171","Conde-sur-Vesgre",465.60188262
"78172","Conflans-Sainte-Honorine",5757.91546524
"78185","Courgent",727.91208159
"78188","Cravent",176.23210075
"78189","Crespieres",1708.50168652
"78190","Croissy-sur-Seine",12288.68918935
"78192","Dammartin-en-Serve",458.14309285
"78193","Dampierre-en-Yvelines",1258.56400371
"78194","Dannemarie",333.60755918
"78196","Davron",1711.52199121
"78202","Drocourt",1141.19221646
"78206","Ecquevilly",2571.1336255
"78208","Elancourt",2535.73456369
"78209","Emance",146.48824747
"78217","Epone",2661.93612694
"78220","Les Essarts-le-Roi",1688.43284856
"78224","L'Etang-la-Ville",6291.89280841
"78227","Evecquemont",3002.66534567
"78230","La Falaise",2129.82789603
"78231","Favrieux",1285.75779347
"78233","Feucherolles",2992.28297484
"78234","Flacourt",682.28878006
"78236","Flexanville",508.81590406
"78237","Flins-Neuve-Eglise",275.98776786
"78238","Flins-sur-Seine",3081.4332413
"78239","Follainville-Dennemont",1168.55789477
"78242","Fontenay-le-Fleury",5308.17408296
"78245","Fontenay-Mauvoisin",1244.11157836
"78246","Fontenay-Saint-Pere",1304.8269389
"78251","Fourqueux",5938.78774164
"78255","Freneuse",529.10492716
"78261","Gaillon-sur-Montcient",2185.90717301
"78262","Galluis",1288.61664801
"78263","Gambais",662.23172051
"78264","Gambaiseuil",538.3288299
"78265","Garancieres",691.81592029
"78267","Gargenville",2467.42440566
"78269","Gazeran",532.41129424
"78276","Gommecourt",222.7131304
"78278","Goupillieres",490.7139556
"78281","Goussonville",699.31845776
"78283","Grandchamp",215.18757094
"78285","Gressey",342.002161
