"ID","NAMES","ouvrier_AsTheCowRolls_POT_0"
"91112","Brouy",8
"91114","Brunoy",1787
"91115","Bruyeres-le-Chatel",222
"91121","Buno-Bonnevaux",52
"91122","Bures-sur-Yvette",158
"91129","Cerny",272
"91130","Chalo-Saint-Mars",52
"91131","Chalou-Moulineux",68
"91132","Chamarande",79
"91135","Champcueil",184
"91136","Champlan",311
"91137","Champmotteux",48
"91145","Chatignonville",0
"91148","Chauffour-les-Etrechy",8
"91156","Cheptainville",184
"91159","Chevannes",129
"91161","Chilly-Mazarin",1739
"91174","Corbeil-Essonnes",6050
"91175","Corbreuse",121
"91179","Le Coudray-Montceaux",416
"91180","Courances",40
"91182","Courcouronnes",1467
"91184","Courdimanche-sur-Essonne",28
"91186","Courson-Monteloup",55
"91191","Crosne",737
"91195","Dannemois",80
"91198","D'Huison-Longueville",93
"91200","Dourdan",1110
"91201","Draveil",2082
"91204","Echarcon",40
"91207","Egly",602
"91215","Epinay-sous-Senart",1412
"91216","Epinay-sur-Orge",604
"91222","Estouches",40
"91223","Etampes",3046
"91225","Etiolles",102
"91226","Etrechy",484
"91228","Evry",5742
"91232","La Ferte-Alais",389
"91235","Fleury-Merogis",541
"91240","Fontaine-la-Riviere",43
"91243","Fontenay-les-Briis",96
"91244","Fontenay-le-Vicomte",104
"91247","La Foret-le-Roi",48
"91248","La Foret-Sainte-Croix",12
"91249","Forges-les-Bains",274
"91272","Gif-sur-Yvette",564
"91273","Gironville-sur-Essonne",53
"91274","Gometz-la-Ville",48
"91275","Gometz-le-Chatel",170
"91284","Les Granges-le-Roi",93
"91286","Grigny",3980
"91292","Guibeville",48
"91293","Guigneville-sur-Essonne",67
"91294","Guillerval",84
"91312","Igny",456
"91315","Itteville",615
"91318","Janville-sur-Juine",89
"91319","Janvry",20
"91326","Juvisy-sur-Orge",1291
"91330","Lardy",417
"91332","Leudeville",95
"91333","Leuville-sur-Orge",220
"91338","Limours",485
"91339","Linas",609
"91340","Lisses",618
"91345","Longjumeau",2107
"91347","Longpont-sur-Orge",404
"91359","Maisse",301
"91363","Marcoussis",544
"91374","Marolles-en-Beauce",21
"91376","Marolles-en-Hurepoix",332
"91377","Massy",3197
"91378","Mauchamps",0
"91386","Mennecy",757
"91390","Mereville",290
"91393","Merobert",86
"91399","Mespuits",20
"91405","Milly-la-Foret",302
"91408","Moigny-sur-Ecole",76
"91411","Les Molieres",95
"91412","Mondeville",76
"91414","Monnerville",72
"91421","Montgeron",1652
"91425","Montlhery",578
"91432","Morangis",1161
