"ID","NAMES","employe_AsTheCrowFlies_POT_7500"
"77461","Thenisy",2368.82673162
"77462","Thieux",13892.42299624
"77463","Thomery",8176.73184277
"77464","Thorigny-sur-Marne",32653.85668419
"77465","Thoury-Ferottes",2327.57562222
"77466","Tigeaux",6969.55632384
"77467","La Tombe",1996.95923489
"77468","Torcy",66711.44308727
"77469","Touquin",2778.91228839
"77470","Tournan-en-Brie",7995.38837688
"77471","Tousson",1626.81257208
"77472","La Tretoire",2455.44783676
"77473","Treuzy-Levelay",3518.48104403
"77474","Trilbardou",14718.53604273
"77475","Trilport",13007.92528984
"77476","Trocy-en-Multien",4270.51057041
"77477","Ury",2392.60630868
"77478","Ussy-sur-Marne",4837.88791182
"77479","Vaires-sur-Marne",75663.1332881
"77480","Valence-en-Brie",4435.6009416
"77481","Vanville",1946.13987428
"77482","Varennes-sur-Seine",5773.61398589
"77483","Varreddes",11468.1585431
"77484","Vaucourtois",10095.29692928
"77485","Le Vaudoue",1772.46619467
"77486","Vaudoy-en-Brie",1606.78196985
"77487","Vaux-le-Penil",17727.64106267
"77489","Vaux-sur-Lunain",906.58758942
"77490","Vendrest",2217.65530471
"77491","Veneux-les-Sablons",7622.65024688
"77492","Verdelot",882.39777117
"77493","Verneuil-l'Etang",4450.40148448
"77494","Vernou-la-Celle-sur-Seine",7056.31784154
"77495","Vert-Saint-Denis",27180.00345006
"77496","Vieux-Champagne",1581.02289756
"77498","Vignely",17040.06643333
"77500","Villebeon",960.6139056
"77501","Villecerf",4132.07567902
"77504","Villemarechal",1901.30983004
"77505","Villemareuil",9554.48709317
"77506","Villemer",3261.23165258
"77507","Villenauxe-la-Petite",968.42018132
"77508","Villeneuve-le-Comte",10222.52906461
"77509","Villeneuve-les-Bordes",2276.12540665
"77510","Villeneuve-Saint-Denis",15910.86399638
"77511","Villeneuve-sous-Dammartin",13430.35365177
"77512","Villeneuve-sur-Bellot",1339.67725361
"77513","Villenoy",17511.0674486
"77514","Villeparisis",58991.99293635
"77515","Villeroy",9436.45331681
"77516","Ville-Saint-Jacques",5128.57380159
"77517","Villevaude",46587.88049221
"77518","Villiers-en-Biere",16459.42599803
"77519","Villiers-Saint-Georges",555.42101672
"77520","Villiers-sous-Grez",3517.76558741
"77521","Villiers-sur-Morin",11531.08070891
"77522","Villiers-sur-Seine",856.55738138
"77523","Villuis",649.32250566
"77524","Vimpelles",1899.70088523
"77525","Vinantes",7646.35210534
"77526","Vincy-Manoeuvre",1779.30433973
"77527","Voinsles",1843.99359911
"77528","Voisenon",22741.55903394
"77529","Voulangis",8902.60410133
"77530","Voulton",1962.64893551
"77531","Voulx",1682.32333372
"77532","Vulaines-les-Provins",3182.64259205
"77533","Vulaines-sur-Seine",7928.20081276
"77534","Yebles",4901.20291558
"78003","Ablis",1762.6673112
"78005","Acheres",60540.33215929
"78006","Adainville",1106.55234063
"78007","Aigremont",26617.50223924
"78009","Allainville",1265.25104655
"78010","Les Alluets-le-Roi",13647.46985133
"78013","Andelu",6211.6334297
"78015","Andresy",50733.37124599
"78020","Arnouville-les-Mantes",8028.73720252
"78029","Aubergenville",16355.25253271
"78030","Auffargis",7309.39026045
"78031","Auffreville-Brasseuil",15575.12218023
"78033","Aulnay-sur-Mauldre",11623.72653248
"78034","Auteuil",6224.19747578
"78036","Autouillet",4863.74443504
"78043","Bailly",53435.43670918
"78048","Bazainville",2537.76492593
"78049","Bazemont",13363.90666009
"78050","Bazoches-sur-Guyonne",12288.50653158
"78053","Behoust",3034.08195593
"78057","Bennecourt",4569.85744665
"78062","Beynes",9760.05676331
"78068","Blaru",1689.12606811
"78070","Boinville-en-Mantois",11915.79990426
"78071","Boinville-le-Gaillard",1552.03100502
"78072","Boinvilliers",7671.13703044
"78073","Bois-d'Arcy",43885.99936928
"78076","Boissets",1743.70121753
"78077","La Boissiere-Ecole",945.73996683
"78082","Boissy-Mauvoisin",6539.22640946
"78084","Boissy-sans-Avoir",5102.5846691
"78087","Bonnelles",4216.76151305
"78089","Bonnieres-sur-Seine",6024.03139035
"78090","Bouafle",18775.65030208
"78092","Bougival",95585.44203475
"78096","Bourdonne",1650.51741709
"78104","Breuil-Bois-Robert",14318.65808581
"78107","Breval",3027.83001981
"78108","Les Breviaires",5945.41444032
"78113","Brueil-en-Vexin",12902.61131391
