"ID","NAMES","population_AsTheCrowFlies_POT_7500"
"78234","Flacourt",60251.83311633
"78236","Flexanville",30499.76259423
"78237","Flins-Neuve-Eglise",14074.02716099
"78238","Flins-sur-Seine",128236.69390245
"78239","Follainville-Dennemont",106906.07732352
"78242","Fontenay-le-Fleury",385694.71048002
"78245","Fontenay-Mauvoisin",91122.07028353
"78246","Fontenay-Saint-Pere",99429.30557055
"78251","Fourqueux",356679.31068072
"78255","Freneuse",46846.57998388
"78261","Gaillon-sur-Montcient",112238.27919894
"78262","Galluis",40303.67269161
"78263","Gambais",19535.27924955
"78264","Gambaiseuil",20192.90602266
"78265","Garancieres",31326.97827002
"78267","Gargenville",120234.77581699
"78269","Gazeran",33621.21091569
"78276","Gommecourt",26245.42755433
"78278","Goupillieres",40743.62680719
"78281","Goussonville",79005.95288656
"78283","Grandchamp",7508.17475894
"78285","Gressey",15619.48220376
"78289","Grosrouvre",27498.91036309
"78290","Guernes",92463.47458134
"78291","Guerville",113747.8758041
"78296","Guitrancourt",116580.54086019
"78297","Guyancourt",354468.83748848
"78299","Hardricourt",123577.99590225
"78300","Hargeville",46677.19681759
"78302","La Hauteville",7017.63604073
"78305","Herbeville",84627.90119727
"78307","Hermeray",12137.06794875
"78310","Houdan",13398.43344176
"78311","Houilles",1187713.86884639
"78314","Issou",125080.49099936
"78317","Jambville",62417.02509553
"78320","Jeufosse",24313.71501333
"78321","Jouars-Pontchartrain",170973.8362349
"78322","Jouy-en-Josas",531811.85330814
"78324","Jouy-Mauvoisin",97998.49940673
"78325","Jumeauville",60198.12869465
"78327","Juziers",115742.86213401
"78329","Lainville-en-Vexin",42291.51919034
"78334","Levis-Saint-Nom",129625.14280726
"78335","Limay",125774.12228481
"78337","Limetz-Villez",21354.52707561
"78343","Les Loges-en-Josas",426987.57249326
"78344","Lommoye",20645.96952397
"78346","Longnes",22844.28516884
"78349","Longvilliers",32956.41727197
"78350","Louveciennes",658614.60099291
"78354","Magnanville",112216.2063453
"78356","Magny-les-Hameaux",241954.49525006
"78358","Maisons-Laffitte",738733.28389921
"78361","Mantes-la-Jolie",117186.66919098
"78362","Mantes-la-Ville",121638.45304219
"78364","Marcq",49246.45451798
"78366","Mareil-le-Guyon",93673.63672615
"78367","Mareil-Marly",446077.20023003
"78368","Mareil-sur-Mauldre",70233.13357709
"78372","Marly-le-Roi",525417.26621804
"78380","Maule",67349.81653749
"78381","Maulette",14538.28126285
"78382","Maurecourt",361771.69836692
"78383","Maurepas",184696.59898337
"78384","Medan",237355.98275231
"78385","Menerville",51484.22981181
"78389","Mere",59892.47806544
"78391","Mericourt",64986.22022772
"78396","Le Mesnil-le-Roi",652332.92794106
"78397","Le Mesnil-Saint-Denis",186029.8391571
"78398","Les Mesnuls",66476.71844631
"78401","Meulan-en-Yvelines",148786.15329528
"78402","Mezieres-sur-Seine",112042.6576862
"78403","Mezy-sur-Seine",120070.1409496
