"ID","NAMES","employe_AsTheCowRolls_POT_15"
"78050","Bazoches-sur-Guyonne",35167.99597312
"78053","Behoust",7270.3414223
"78057","Bennecourt",13935.48606477
"78062","Beynes",27314.8612655
"78068","Blaru",6307.25153655
"78070","Boinville-en-Mantois",18714.77663364
"78071","Boinville-le-Gaillard",5708.21872578
"78072","Boinvilliers",14982.36683125
"78073","Bois-d'Arcy",142273.82912026
"78076","Boissets",3323.83338227
"78077","La Boissiere-Ecole",1869.1154935
"78082","Boissy-Mauvoisin",11689.66475843
"78084","Boissy-sans-Avoir",17282.23948121
"78087","Bonnelles",18310.56795143
"78089","Bonnieres-sur-Seine",12769.89567236
"78090","Bouafle",58263.04958783
"78092","Bougival",236472.90103839
"78096","Bourdonne",4423.44409688
"78104","Breuil-Bois-Robert",23639.86310557
"78107","Breval",7052.25889189
"78108","Les Breviaires",12946.02760563
"78113","Brueil-en-Vexin",27851.28632055
"78117","Buc",120009.45896579
"78118","Buchelay",28108.50050083
"78120","Bullion",14303.18442867
"78123","Carrieres-sous-Poissy",110344.79970829
"78124","Carrieres-sur-Seine",278375.38310623
"78125","La Celle-les-Bordes",11180.07604907
"78126","La Celle-Saint-Cloud",253505.95216487
"78128","Cernay-la-Ville",18244.13341667
"78133","Chambourcy",124804.21159137
"78138","Chanteloup-les-Vignes",83587.48626506
"78140","Chapet",56190.29717622
"78143","Chateaufort",87574.59427977
"78146","Chatou",269400.26298747
"78147","Chaufour-les-Bonnieres",12684.92665343
"78152","Chavenay",66198.33094057
"78158","Le Chesnay",220825.03128265
"78160","Chevreuse",29523.9700718
"78162","Choisel",21443.28023647
"78163","Civry-la-Foret",5591.59212068
"78164","Clairefontaine-en-Yvelines",13629.80938192
"78165","Les Clayes-sous-Bois",73052.56652191
"78168","Coignieres",45219.33105899
"78171","Conde-sur-Vesgre",3482.4407954
"78172","Conflans-Sainte-Honorine",135256.09656746
"78185","Courgent",13709.88440962
"78188","Cravent",6938.81800301
"78189","Crespieres",42720.12457906
"78190","Croissy-sur-Seine",206283.73090972
"78192","Dammartin-en-Serve",8897.06972544
"78193","Dampierre-en-Yvelines",28524.68850754
"78194","Dannemarie",3216.68972827
"78196","Davron",47733.96455759
"78202","Drocourt",21486.95553055
"78206","Ecquevilly",56663.24213779
"78208","Elancourt",59868.60004517
"78209","Emance",2907.17972429
"78217","Epone",42963.92240962
"78220","Les Essarts-le-Roi",33763.70741798
"78224","L'Etang-la-Ville",125874.86813362
"78227","Evecquemont",54888.46473446
"78230","La Falaise",36571.60132433
"78231","Favrieux",21204.85119005
"78233","Feucherolles",73658.44674723
"78234","Flacourt",13721.05791324
"78236","Flexanville",6558.89683408
"78237","Flins-Neuve-Eglise",6378.34696465
"78238","Flins-sur-Seine",58218.69313904
"78239","Follainville-Dennemont",18467.97966201
"78242","Fontenay-le-Fleury",113853.27924851
"78245","Fontenay-Mauvoisin",21117.14118297
"78246","Fontenay-Saint-Pere",21440.97461751
"78251","Fourqueux",117901.15833935
"78255","Freneuse",12343.7773971
"78261","Gaillon-sur-Montcient",40798.15723513
"78262","Galluis",27662.69519312
"78263","Gambais",6559.96736416
"78264","Gambaiseuil",5581.73058509
"78265","Garancieres",11173.23527017
"78267","Gargenville",38885.7775821
"78269","Gazeran",7649.46957692
"78276","Gommecourt",4754.74732033
"78278","Goupillieres",9263.29845869
"78281","Goussonville",16402.99751381
"78283","Grandchamp",1348.67137357
"78285","Gressey",3419.64915251
"78289","Grosrouvre",8379.61605276
"78290","Guernes",10870.94102497
"78291","Guerville",19552.41315592
"78296","Guitrancourt",25463.23111371
"78297","Guyancourt",102965.3979903
"78299","Hardricourt",51003.0233802
"78300","Hargeville",11715.2285613
"78302","La Hauteville",1277.01623227
"78305","Herbeville",21840.39243773
"78307","Hermeray",2615.67000886
"78310","Houdan",5603.83007089
"78311","Houilles",298697.22602349
"78314","Issou",37494.99816027
"78317","Jambville",20041.9646738
"78320","Jeufosse",16447.6478879
"78321","Jouars-Pontchartrain",58508.2097799
"78322","Jouy-en-Josas",187088.22558258
"78324","Jouy-Mauvoisin",24037.68961146
"78325","Jumeauville",14384.47291208
"78327","Juziers",37431.19607073
"78329","Lainville-en-Vexin",18750.24108895
"78334","Levis-Saint-Nom",24321.28647161
"78335","Limay",28466.82591388
"78337","Limetz-Villez",7402.88288709
"78343","Les Loges-en-Josas",131552.0503543
"78344","Lommoye",5082.98612603
"78346","Longnes",12645.93252225
"78349","Longvilliers",21493.41770542
"78350","Louveciennes",227356.75730183
"78354","Magnanville",30486.2063635
"78356","Magny-les-Hameaux",47066.69310635
"78358","Maisons-Laffitte",180932.43781863
"78361","Mantes-la-Jolie",32903.2764732
"78362","Mantes-la-Ville",32680.8099612
"78364","Marcq",14100.46283876
"78366","Mareil-le-Guyon",31746.46302176
"78367","Mareil-Marly",127942.54174256
"78368","Mareil-sur-Mauldre",31565.92863631
"78372","Marly-le-Roi",189490.02601435
"78380","Maule",29297.85528598
"78381","Maulette",7470.69277012
"78382","Maurecourt",95704.48265009
"78383","Maurepas",64180.18467768
"78384","Medan",75875.44222678
"78385","Menerville",15495.03081372
"78389","Mere",23637.08826641
"78391","Mericourt",12414.97737739
"78396","Le Mesnil-le-Roi",158892.08962784
"78397","Le Mesnil-Saint-Denis",43603.69095535
"78398","Les Mesnuls",24695.19684982
"78401","Meulan-en-Yvelines",55850.84873498
"78402","Mezieres-sur-Seine",40865.89577595
"78403","Mezy-sur-Seine",39879.71535472
"78404","Millemont",13200.96760895
