"ID","NAMES","population_AsTheCrowFlies_ACC_0.01"
"78164","Clairefontaine-en-Yvelines",12699.0154552002
"78165","Les Clayes-sous-Bois",4497.83503027256
"78168","Coignieres",6542.34644977327
"78171","Conde-sur-Vesgre",16188.6052058679
"78172","Conflans-Sainte-Honorine",3677.17449275208
"78185","Courgent",12095.316116502
"78188","Cravent",18493.4433077316
"78189","Crespieres",7740.76112600268
"78190","Croissy-sur-Seine",2870.03727159736
"78192","Dammartin-en-Serve",12744.090450331
"78193","Dampierre-en-Yvelines",7858.5644822813
"78194","Dannemarie",18114.0868071027
"78196","Davron",6836.38759200838
"78202","Drocourt",9806.98928922253
"78206","Ecquevilly",6626.55252328498
"78208","Elancourt",4175.18199878041
"78209","Emance",18853.547512454
"78217","Epone",8017.74838105819
"78220","Les Essarts-le-Roi",8485.19188759372
"78224","L'Etang-la-Ville",4775.71851367344
"78227","Evecquemont",5970.29538467077
"78230","La Falaise",8278.77418267413
"78231","Favrieux",10332.1769017723
"78233","Feucherolles",6378.23104275223
"78234","Flacourt",10868.442812189
"78236","Flexanville",11661.6475714932
"78237","Flins-Neuve-Eglise",15249.8198002405
"78238","Flins-sur-Seine",7100.94008488317
"78239","Follainville-Dennemont",8307.539661203
"78242","Fontenay-le-Fleury",3902.63193508123
"78245","Fontenay-Mauvoisin",9461.5398077023
"78246","Fontenay-Saint-Pere",8429.1265746867
"78251","Fourqueux",4911.97830227182
"78255","Freneuse",12893.178974088
"78261","Gaillon-sur-Montcient",7648.72433899726
"78262","Galluis",10761.3245292197
"78263","Gambais",15220.1360415838
"78264","Gambaiseuil",13591.8484894562
"78265","Garancieres",11768.1099787592
"78267","Gargenville",7438.29787247738
"78269","Gazeran",15476.1079704889
"78276","Gommecourt",14919.8488004311
"78278","Goupillieres",10588.2631259295
"78281","Goussonville",9014.90321401635
"78283","Grandchamp",19024.0427562929
"78285","Gressey",16407.5796520636
"78289","Grosrouvre",12143.9108241066
"78290","Guernes",9667.68539592029
"78291","Guerville",7752.54898301706
"78296","Guitrancourt",7585.28306440766
"78297","Guyancourt",3907.776941297
"78299","Hardricourt",7291.01795238837
"78300","Hargeville",10407.6227832034
"78302","La Hauteville",18885.78227124
"78305","Herbeville",8193.88022639415
"78307","Hermeray",18019.0911325813
"78310","Houdan",17720.6828669883
"78311","Houilles",2313.50392216118
"78314","Issou",7248.24470150513
"78317","Jambville",9192.86849447601
"78320","Jeufosse",16213.0403457315
"78321","Jouars-Pontchartrain",5826.99241191429
"78322","Jouy-en-Josas",4298.09160914285
"78324","Jouy-Mauvoisin",9124.85467412723
"78325","Jumeauville",9602.06427267351
"78327","Juziers",7585.34253562994
"78329","Lainville-en-Vexin",10183.5894043487
"78334","Levis-Saint-Nom",7147.80130583942
"78335","Limay",7002.10011270665
