"ID","NAMES","artisans_AsTheCrowFlies_ACC_0.05"
"78013","Andelu",17655.717921927
"78015","Andresy",10215.0315680761
"78020","Arnouville-les-Mantes",21382.3936427317
"78029","Aubergenville",16592.3006137833
"78030","Auffargis",18811.5119669276
"78031","Auffreville-Brasseuil",22532.4900320091
"78033","Aulnay-sur-Mauldre",16515.1571920392
"78034","Auteuil",17795.2055639684
"78036","Autouillet",18527.423614191
"78043","Bailly",8343.22261021434
"78048","Bazainville",24762.7286284309
"78049","Bazemont",15377.0393007745
"78050","Bazoches-sur-Guyonne",17869.7910509032
"78053","Behoust",21756.6935273566
"78057","Bennecourt",30644.9521273608
"78062","Beynes",15665.5485889699
"78068","Blaru",34792.8463984267
"78070","Boinville-en-Mantois",20251.1546680526
"78071","Boinville-le-Gaillard",28442.6407215903
"78072","Boinvilliers",24104.9494069986
"78073","Bois-d'Arcy",11019.8572696508
"78076","Boissets",27844.5635117461
"78077","La Boissiere-Ecole",27779.4925050592
"78082","Boissy-Mauvoisin",28467.3143514381
"78084","Boissy-sans-Avoir",18876.3734527068
"78087","Bonnelles",17682.0786367132
"78089","Bonnieres-sur-Seine",30084.1218765797
"78090","Bouafle",14948.1682196675
"78092","Bougival",6147.53111537074
"78096","Bourdonne",26456.1158041732
"78104","Breuil-Bois-Robert",21894.5048251621
"78107","Breval",30332.8015846841
"78108","Les Breviaires",20720.2199975971
"78113","Brueil-en-Vexin",19459.5897925908
"78117","Buc",8775.77666289336
"78118","Buchelay",24362.5152514939
"78120","Bullion",18648.8290678688
"78123","Carrieres-sous-Poissy",10318.2504188433
"78124","Carrieres-sur-Seine",5266.03188778133
"78125","La Celle-les-Bordes",19110.3635845815
"78126","La Celle-Saint-Cloud",6351.44525017103
"78128","Cernay-la-Ville",17578.7634411992
"78133","Chambourcy",9935.20685063863
"78138","Chanteloup-les-Vignes",10605.7358664043
"78140","Chapet",13501.8713945775
"78143","Chateaufort",10816.2958847512
"78146","Chatou",5737.41057232807
"78147","Chaufour-les-Bonnieres",33967.064848548
"78152","Chavenay",11649.9779185942
"78158","Le Chesnay",6914.84333317394
"78160","Chevreuse",13645.0785124906
"78162","Choisel",15636.4577318343
"78163","Civry-la-Foret",26350.3368190583
"78164","Clairefontaine-en-Yvelines",21454.3355211603
"78165","Les Clayes-sous-Bois",12072.0447065576
"78168","Coignieres",16213.5941526828
"78171","Conde-sur-Vesgre",26174.3084731653
"78172","Conflans-Sainte-Honorine",9355.39247681956
"78185","Courgent",24217.3868610696
"78188","Cravent",33532.2283811871
"78189","Crespieres",13614.4344345317
"78190","Croissy-sur-Seine",6214.35572399507
"78192","Dammartin-en-Serve",26224.2113520164
"78193","Dampierre-en-Yvelines",15732.4930449231
"78194","Dannemarie",28246.4446170236
"78196","Davron",12843.1347831049
"78202","Drocourt",22148.8239228874
"78206","Ecquevilly",13878.3863305109
"78208","Elancourt",13763.1055340647
"78209","Emance",28726.3000432906
"78217","Epone",17796.6228315916
"78220","Les Essarts-le-Roi",17986.2539004378
"78224","L'Etang-la-Ville",8816.48517056155
"78227","Evecquemont",14698.1299186873
"78230","La Falaise",17215.1340974591
"78231","Favrieux",25353.8593721734
"78233","Feucherolles",11593.8661126246
"78234","Flacourt",25213.5188505569
"78236","Flexanville",20636.0218536516
"78237","Flins-Neuve-Eglise",28223.5411940155
"78238","Flins-sur-Seine",15800.9125394373
"78239","Follainville-Dennemont",23700.7098485604
"78242","Fontenay-le-Fleury",9955.8533576489
"78245","Fontenay-Mauvoisin",25272.8039758256
"78246","Fontenay-Saint-Pere",21886.1787703885
"78251","Fourqueux",9002.69720576499
"78255","Freneuse",28920.0615954908
"78261","Gaillon-sur-Montcient",16496.6499425287
"78262","Galluis",19675.5003465622
"78263","Gambais",24955.8940530342
"78264","Gambaiseuil",23330.9966005619
"78265","Garancieres",20461.9651296843
"78267","Gargenville",18604.0261133625
"78269","Gazeran",25419.9663800659
"78276","Gommecourt",30357.5972938072
"78278","Goupillieres",19433.8732447129
"78281","Goussonville",19442.0898553226
"78283","Grandchamp",29117.8334689988
"78285","Gressey",27369.914943461
"78289","Grosrouvre",21381.8927449062
"78290","Guernes",26524.6905881695
"78291","Guerville",20804.880057757
"78296","Guitrancourt",20299.2934779041
"78297","Guyancourt",10195.3808258603
"78299","Hardricourt",16251.6086583305
"78300","Hargeville",20289.7275327087
"78302","La Hauteville",28967.0476696466
"78305","Herbeville",14729.7035120421
"78307","Hermeray",28111.2058644994
"78310","Houdan",28119.769640171
"78311","Houilles",5299.29406884828
"78314","Issou",19363.7728226621
"78317","Jambville",18882.6911549146
"78320","Jeufosse",31966.1195475711
"78321","Jouars-Pontchartrain",15427.6442010823
"78322","Jouy-en-Josas",8040.52457826224
"78324","Jouy-Mauvoisin",25506.6391647505
"78325","Jumeauville",18630.8985373948
"78327","Juziers",17707.4581748929
"78329","Lainville-en-Vexin",20610.2395633613
"78334","Levis-Saint-Nom",16170.3069250756
