"ID","NAMES","population_AsTheCowRolls_POT_10"
"78329","Lainville-en-Vexin",28081.94477451
"78334","Levis-Saint-Nom",54578.6115354
"78335","Limay",122074.07256502
"78337","Limetz-Villez",11370.96089747
"78343","Les Loges-en-Josas",264396.61613743
"78344","Lommoye",5705.057896
"78346","Longnes",29501.22049347
"78349","Longvilliers",39603.66727571
"78350","Louveciennes",586353.68405454
"78354","Magnanville",121771.3890277
"78356","Magny-les-Hameaux",107272.76282178
"78358","Maisons-Laffitte",401619.92749531
"78361","Mantes-la-Jolie",137905.12970853
"78362","Mantes-la-Ville",133078.42284851
"78364","Marcq",30111.85317138
"78366","Mareil-le-Guyon",62170.81677949
"78367","Mareil-Marly",289710.02558805
"78368","Mareil-sur-Mauldre",55008.05636515
"78372","Marly-le-Roi",477699.76145908
"78380","Maule",61284.54913351
"78381","Maulette",18043.64921256
"78382","Maurecourt",255044.57755195
"78383","Maurepas",169987.24565222
"78384","Medan",158692.20030142
"78385","Menerville",43234.76146352
"78389","Mere",35081.22748489
"78391","Mericourt",31301.39999581
"78396","Le Mesnil-le-Roi",377892.45812593
"78397","Le Mesnil-Saint-Denis",114773.75017444
"78398","Les Mesnuls",49760.00808793
"78401","Meulan-en-Yvelines",148996.73141752
"78402","Mezieres-sur-Seine",132286.37392809
"78403","Mezy-sur-Seine",101711.54086967
