"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.005"
"77513","Villenoy",4700.17470708007
"77514","Villeparisis",5855.30915354161
"77515","Villeroy",3974.23063318352
"77516","Ville-Saint-Jacques",3587.14598914029
"77517","Villevaude",5780.47406476843
"77518","Villiers-en-Biere",4260.06814639449
"77519","Villiers-Saint-Georges",5496.38163008743
"77520","Villiers-sous-Grez",5383.26587660101
"77521","Villiers-sur-Morin",4715.98732458215
"77522","Villiers-sur-Seine",5802.52560593598
"77523","Villuis",7621.55628339125
"77524","Vimpelles",4038.28824351259
"77525","Vinantes",4050.21231416252
"77526","Vincy-Manoeuvre",7185.73098254705
"77527","Voinsles",3729.2706195827
"77528","Voisenon",4930.05041149027
"77529","Voulangis",4508.78862640645
"77530","Voulton",5297.75787958362
"77531","Voulx",4899.47188703347
"77532","Vulaines-les-Provins",4592.15313177327
"77533","Vulaines-sur-Seine",7556.54448946705
"77534","Yebles",4609.51931505347
"78003","Ablis",5943.28047500753
"78005","Acheres",4393.14414034767
"78006","Adainville",6947.81997280589
"78007","Aigremont",3279.4914557093
"78009","Allainville",5437.44003380874
"78010","Les Alluets-le-Roi",3758.17487262154
"78013","Andelu",3571.80950251703
"78015","Andresy",4691.6419743087
"78020","Arnouville-les-Mantes",4456.86679411288
"78029","Aubergenville",3678.5244403845
"78030","Auffargis",6113.42761071273
"78031","Auffreville-Brasseuil",4461.97986765269
"78033","Aulnay-sur-Mauldre",2937.37054096641
"78034","Auteuil",5186.05630512849
"78036","Autouillet",5046.01421099493
"78043","Bailly",3001.04208369587
"78048","Bazainville",5244.97968162785
"78049","Bazemont",3395.07767557
"78050","Bazoches-sur-Guyonne",5181.75293665851
"78053","Behoust",4693.72293517492
"78057","Bennecourt",5649.41994165902
"78062","Beynes",4851.75909804463
"78068","Blaru",7343.46816353115
"78070","Boinville-en-Mantois",4543.38362528479
"78071","Boinville-le-Gaillard",4771.43776147854
"78072","Boinvilliers",4149.75285600161
"78073","Bois-d'Arcy",4198.79755245751
"78076","Boissets",5156.92443957784
"78077","La Boissiere-Ecole",6694.12210976492
"78082","Boissy-Mauvoisin",3638.26748600236
"78084","Boissy-sans-Avoir",5227.21891464756
"78087","Bonnelles",5883.05668999754
"78089","Bonnieres-sur-Seine",5025.40158034774
"78090","Bouafle",3951.44108462562
"78092","Bougival",1405.01169576765
"78096","Bourdonne",6787.27812369045
"78104","Breuil-Bois-Robert",4638.51127758942
"78107","Breval",4254.8380356208
"78108","Les Breviaires",4902.95114765509
"78113","Brueil-en-Vexin",5430.55863717802
"78117","Buc",3799.20410293988
"78118","Buchelay",4346.55482768631
"78120","Bullion",7076.73179424534
"78123","Carrieres-sous-Poissy",4278.25896923022
"78124","Carrieres-sur-Seine",1676.82429735349
"78125","La Celle-les-Bordes",7366.7819064942
"78126","La Celle-Saint-Cloud",1302.78737929811
"78128","Cernay-la-Ville",6525.23528804397
"78133","Chambourcy",3141.7929730415
"78138","Chanteloup-les-Vignes",4729.90667216279
"78140","Chapet",4379.57027225939
"78143","Chateaufort",4699.8216871614
"78146","Chatou",1578.56018060849
"78147","Chaufour-les-Bonnieres",6065.37692717314
"78152","Chavenay",3215.45353970452
"78158","Le Chesnay",2212.6808425342
"78160","Chevreuse",4880.66836460224
"78162","Choisel",5630.18869935102
"78163","Civry-la-Foret",4344.62315823901
"78164","Clairefontaine-en-Yvelines",7439.49703874096
"78165","Les Clayes-sous-Bois",3965.97725749809
"78168","Coignieres",5545.23718896974
"78171","Conde-sur-Vesgre",6639.10027610973
"78172","Conflans-Sainte-Honorine",4110.78724095482
"78185","Courgent",4097.52191802108
"78188","Cravent",6049.12723778466
"78189","Crespieres",3700.12514906367
"78190","Croissy-sur-Seine",1768.83137594209
"78192","Dammartin-en-Serve",3979.64521810092
"78193","Dampierre-en-Yvelines",5804.97786949321
"78194","Dannemarie",7821.85160726573
"78196","Davron",3570.75696859237
"78202","Drocourt",6347.80485576672
"78206","Ecquevilly",3908.10160960756
"78208","Elancourt",5251.07418494592
"78209","Emance",7885.72376006245
"78217","Epone",3546.97592628673
"78220","Les Essarts-le-Roi",5456.0705478102
"78224","L'Etang-la-Ville",2634.82915279223
"78227","Evecquemont",4309.74757963444
"78230","La Falaise",3254.72935861984
"78231","Favrieux",3658.33601240339
"78233","Feucherolles",3056.06476178177
"78234","Flacourt",3868.77977928969
"78236","Flexanville",4478.24757703174
"78237","Flins-Neuve-Eglise",4465.44308972541
"78238","Flins-sur-Seine",3895.7677035007
"78239","Follainville-Dennemont",6194.93766590142
"78242","Fontenay-le-Fleury",3674.98847657154
"78245","Fontenay-Mauvoisin",3512.09416746503
"78246","Fontenay-Saint-Pere",6217.25967337916
"78251","Fourqueux",2959.02348672851
"78255","Freneuse",6054.48023859509
"78261","Gaillon-sur-Montcient",4189.61426695213
"78262","Galluis",5190.7350116412
"78263","Gambais",5835.60709132343
"78264","Gambaiseuil",5554.4478178672
"78265","Garancieres",5113.62126295269
"78267","Gargenville",4822.63307554609
"78269","Gazeran",6342.49766808628
"78276","Gommecourt",7247.78084517703
"78278","Goupillieres",4168.33093770288
"78281","Goussonville",4216.20260220237
"78283","Grandchamp",8418.88087494065
"78285","Gressey",5460.24341118054
"78289","Grosrouvre",5235.14305543206
"78290","Guernes",5276.76381581904
"78291","Guerville",4706.01614622563
"78296","Guitrancourt",5519.94160639877
"78297","Guyancourt",4140.21604760542
"78299","Hardricourt",4551.01903784492
"78300","Hargeville",4200.26050603193
"78302","La Hauteville",8033.583651323
"78305","Herbeville",3644.71069288929
"78307","Hermeray",6795.11114741215
"78310","Houdan",7027.80469711015
"78311","Houilles",2244.25835441815
"78314","Issou",4947.8541209749
"78317","Jambville",4729.20013558554
"78320","Jeufosse",5392.16262616291
"78321","Jouars-Pontchartrain",5503.46293583419
"78322","Jouy-en-Josas",3915.75433570079
"78324","Jouy-Mauvoisin",3611.95782054249
"78325","Jumeauville",3891.70175087332
"78327","Juziers",4796.88857988982
"78329","Lainville-en-Vexin",5225.42493966196
