"ID","NAMES","agriculteurs_AsTheCowRolls_POT_20"
"78305","Herbeville",466.48202123
"78307","Hermeray",102.93474435
"78310","Houdan",232.12141751
"78311","Houilles",1696.82770715
"78314","Issou",562.55454456
"78317","Jambville",318.05002267
"78320","Jeufosse",241.03389611
"78321","Jouars-Pontchartrain",781.31396087
"78322","Jouy-en-Josas",1336.61100343
"78324","Jouy-Mauvoisin",366.4617257
"78325","Jumeauville",320.75442128
"78327","Juziers",496.94386879
"78329","Lainville-en-Vexin",300.82748822
"78334","Levis-Saint-Nom",329.68578039
"78335","Limay",425.75172194
"78337","Limetz-Villez",132.21577004
"78343","Les Loges-en-Josas",1073.14287325
"78344","Lommoye",141.30211092
"78346","Longnes",270.19444318
"78349","Longvilliers",432.03312246
"78350","Louveciennes",1668.5304476
"78354","Magnanville",475.32496935
"78356","Magny-les-Hameaux",531.20244946
"78358","Maisons-Laffitte",1289.78394028
"78361","Mantes-la-Jolie",510.22026345
"78362","Mantes-la-Ville",510.25516682
"78364","Marcq",380.41641883
"78366","Mareil-le-Guyon",524.41533593
"78367","Mareil-Marly",1208.5312718
"78368","Mareil-sur-Mauldre",587.88626824
"78372","Marly-le-Roi",1519.44066984
"78380","Maule",534.21139363
"78381","Maulette",269.76132207
"78382","Maurecourt",798.40809884
"78383","Maurepas",765.29779052
"78384","Medan",899.40534321
"78385","Menerville",263.48900838
"78389","Mere",452.60207199
"78391","Mericourt",177.98415117
"78396","Le Mesnil-le-Roi",1255.92566056
"78397","Le Mesnil-Saint-Denis",548.5153451
"78398","Les Mesnuls",421.36608537
"78401","Meulan-en-Yvelines",737.93044124
"78402","Mezieres-sur-Seine",634.53681228
"78403","Mezy-sur-Seine",538.09702874
"78404","Millemont",330.44331096
"78406","Milon-la-Chapelle",462.35540335
"78407","Mittainville",96.02410387
"78410","Moisson",89.70454277
"78413","Mondreville",215.65850868
"78415","Montainville",412.30761271
"78416","Montalet-le-Bois",331.21163541
"78417","Montchauvet",250.05829456
"78418","Montesson",1614.39272573
"78420","Montfort-l'Amaury",457.02354222
"78423","Montigny-le-Bretonneux",1068.9168155
"78431","Morainvilliers",850.92934514
"78437","Mousseaux-sur-Seine",124.52003595
"78439","Mulcent",268.85875866
"78440","Les Mureaux",816.59116294
"78442","Neauphle-le-Chateau",689.67353739
"78443","Neauphle-le-Vieux",566.98122323
"78444","Neauphlette",171.93771371
"78451","Nezel",632.10937165
"78455","Noisy-le-Roi",1305.50546349
"78460","Oinville-sur-Montcient",431.27091228
"78464","Orcemont",189.20184485
"78465","Orgerus",229.56198134
"78466","Orgeval",987.29473227
"78470","Orphin",181.67210983
"78472","Orsonville",235.85017289
"78474","Orvilliers",258.59490854
"78475","Osmoy",251.26377701
"78478","Paray-Douaville",275.70181206
"78481","Le Pecq",1457.90136722
"78484","Perdreauville",317.69107677
"78486","Le Perray-en-Yvelines",413.38776925
"78490","Plaisir",794.49934864
"78497","Poigny-la-Foret",179.09392979
"78498","Poissy",1241.83270862
