"ID","NAMES","artisans_AsTheCrowFlies_POT_10000"
"78192","Dammartin-en-Serve",1608.05630048
"78193","Dampierre-en-Yvelines",3984.03678042
"78194","Dannemarie",781.79773725
"78196","Davron",6824.5925487
"78202","Drocourt",2516.58025913
"78206","Ecquevilly",5982.25235488
"78208","Elancourt",6362.04958532
"78209","Emance",588.21977651
"78217","Epone",3882.02822511
"78220","Les Essarts-le-Roi",3228.767296
"78224","L'Etang-la-Ville",18011.81088311
"78227","Evecquemont",6005.5354747
"78230","La Falaise",3902.87321069
"78231","Favrieux",2300.36848367
"78233","Feucherolles",8728.48008618
"78234","Flacourt",2168.87087044
"78236","Flexanville",2048.53530944
"78237","Flins-Neuve-Eglise",990.31060063
"78238","Flins-sur-Seine",4850.9892012
"78239","Follainville-Dennemont",2803.58025477
"78242","Fontenay-le-Fleury",13624.09974067
"78245","Fontenay-Mauvoisin",2502.9194166
"78246","Fontenay-Saint-Pere",3005.05256233
"78251","Fourqueux",17177.48118272
"78255","Freneuse",1643.41121485
"78261","Gaillon-sur-Montcient",4404.28787238
"78262","Galluis",2406.49477788
"78263","Gambais",1230.60926423
"78264","Gambaiseuil",1491.1268134
"78265","Garancieres",2028.29226953
"78267","Gargenville",3909.94993499
"78269","Gazeran",1076.06936202
"78276","Gommecourt",1182.5215847
"78278","Goupillieres",2527.14016894
"78281","Goussonville",3175.75819145
"78283","Grandchamp",620.67265848
"78285","Gressey",932.69781487
"78289","Grosrouvre",1898.97970329
"78290","Guernes",2379.77420473
"78291","Guerville",3300.02619015
"78296","Guitrancourt",3494.27774528
"78297","Guyancourt",12622.90055864
"78299","Hardricourt",4662.6882408
"78300","Hargeville",2575.56873286
"78302","La Hauteville",611.11032318
"78305","Herbeville",4709.31172718
"78307","Hermeray",704.08717484
"78310","Houdan",812.83265897
"78311","Houilles",51334.50957632
"78314","Issou",3767.9997827
"78317","Jambville",3037.16196919
"78320","Jeufosse",1016.99745924
"78321","Jouars-Pontchartrain",4940.72860723
"78322","Jouy-en-Josas",24379.58027968
"78324","Jouy-Mauvoisin",2548.74832986
"78325","Jumeauville",3040.57601174
"78327","Juziers",4124.92887089
"78329","Lainville-en-Vexin",2386.13180431
"78334","Levis-Saint-Nom",4200.67350435
"78335","Limay",3312.02886064
"78337","Limetz-Villez",947.04174489
"78343","Les Loges-en-Josas",19072.60459743
"78344","Lommoye",919.6799731
"78346","Longnes",1279.53630481
"78349","Longvilliers",1621.06879565
"78350","Louveciennes",30909.19100033
"78354","Magnanville",2898.69187305
"78356","Magny-les-Hameaux",7992.02263187
"78358","Maisons-Laffitte",32367.00704059
"78361","Mantes-la-Jolie",2921.28390101
"78362","Mantes-la-Ville",3133.64196785
"78364","Marcq",3027.53648346
"78366","Mareil-le-Guyon",3549.50345443
"78367","Mareil-Marly",21344.44432341
"78368","Mareil-sur-Mauldre",4202.89834378
"78372","Marly-le-Roi",24688.25527448
"78380","Maule",3679.3238396
"78381","Maulette",887.87003785
"78382","Maurecourt",11847.83195946
"78383","Maurepas",5082.25549265
"78384","Medan",8990.9847161
"78385","Menerville",1828.51507445
"78389","Mere",2906.19299361
"78391","Mericourt",1954.29072629
"78396","Le Mesnil-le-Roi",30027.76186515
"78397","Le Mesnil-Saint-Denis",5299.86929127
"78398","Les Mesnuls",2922.95330325
"78401","Meulan-en-Yvelines",5388.94591227
"78402","Mezieres-sur-Seine",3661.44375574
"78403","Mezy-sur-Seine",4472.06789889
"78404","Millemont",1667.83876576
"78406","Milon-la-Chapelle",6870.13798149
"78407","Mittainville",468.84746377
"78410","Moisson",1727.09408519
"78413","Mondreville",890.29552997
"78415","Montainville",3626.98481254
"78416","Montalet-le-Bois",2868.24236482
"78417","Montchauvet",1469.95352117
"78418","Montesson",36842.91782181
"78420","Montfort-l'Amaury",2607.68039204
"78423","Montigny-le-Bretonneux",9573.4589064
"78431","Morainvilliers",6856.31236428
"78437","Mousseaux-sur-Seine",1962.36072179
