"ID","NAMES","total_AsTheCrowFlies_ACC_0.05"
"78230","La Falaise",16900.3966962283
"78231","Favrieux",25258.7480207559
"78233","Feucherolles",11365.7405824519
"78234","Flacourt",25123.7933359927
"78236","Flexanville",20477.240435949
"78237","Flins-Neuve-Eglise",28167.3007570416
"78238","Flins-sur-Seine",15458.0781231731
"78239","Follainville-Dennemont",23461.0995802794
"78242","Fontenay-le-Fleury",9375.00995602683
"78245","Fontenay-Mauvoisin",25165.9601208897
"78246","Fontenay-Saint-Pere",21540.3338716765
"78251","Fourqueux",8984.88921148167
"78255","Freneuse",28752.4154205416
"78261","Gaillon-sur-Montcient",15945.200930499
"78262","Galluis",19397.0598530805
"78263","Gambais",24802.6722417999
"78264","Gambaiseuil",23172.5183102361
"78265","Garancieres",20285.7110913921
"78267","Gargenville",18251.7216292187
"78269","Gazeran",25225.6143310209
"78276","Gommecourt",30209.6171546997
"78278","Goupillieres",19224.6887492976
"78281","Goussonville",19217.6719948715
"78283","Grandchamp",29024.6120816534
"78285","Gressey",27280.3513832349
"78289","Grosrouvre",21176.11694739
"78290","Guernes",26355.8977229756
"78291","Guerville",20618.8975536638
"78296","Guitrancourt",20007.5782077517
"78297","Guyancourt",9573.94003408096
"78299","Hardricourt",15758.0789920071
"78300","Hargeville",20135.9825057308
"78302","La Hauteville",28867.8105561662
"78305","Herbeville",14430.7162394127
"78307","Hermeray",27984.7203238533
"78310","Houdan",28050.8487495959
"78311","Houilles",5264.50612026745
"78314","Issou",19021.0098486785
"78317","Jambville",18387.2317079525
"78320","Jeufosse",31846.2427816696
"78321","Jouars-Pontchartrain",15026.0302612446
"78322","Jouy-en-Josas",7772.46043797587
"78324","Jouy-Mauvoisin",25389.2388300626
"78325","Jumeauville",18424.3894123876
"78327","Juziers",17281.5236924808
"78329","Lainville-en-Vexin",20207.7681962391
"78334","Levis-Saint-Nom",15592.0615376632
