"ID","NAMES","total_AsTheCrowFlies_POT_7500"
"78305","Herbeville",41133.18668738
"78307","Hermeray",5782.53282003
"78310","Houdan",6723.56256642
"78311","Houilles",598601.81300464
"78314","Issou",59873.97923047
"78317","Jambville",30761.17347932
"78320","Jeufosse",11720.19206056
"78321","Jouars-Pontchartrain",86389.04137276
"78322","Jouy-en-Josas",263268.60029422
"78324","Jouy-Mauvoisin",45339.87254566
"78325","Jumeauville",29504.35126786
"78327","Juziers",56275.9969195
"78329","Lainville-en-Vexin",20829.08178918
"78334","Levis-Saint-Nom",65089.88742662
"78335","Limay",59072.35000188
"78337","Limetz-Villez",10293.13016241
"78343","Les Loges-en-Josas",210290.05392452
"78344","Lommoye",10073.98790785
"78346","Longnes",11148.04537315
"78349","Longvilliers",16319.0491562
"78350","Louveciennes",322835.54470775
"78354","Magnanville",52153.93738853
"78356","Magny-les-Hameaux",121757.84063539
"78358","Maisons-Laffitte",368755.42297614
"78361","Mantes-la-Jolie",54408.93979804
"78362","Mantes-la-Ville",56808.94919593
"78364","Marcq",24436.07251523
"78366","Mareil-le-Guyon",46905.40065869
"78367","Mareil-Marly",216592.61845075
"78368","Mareil-sur-Mauldre",34435.07711076
"78372","Marly-le-Roi",255681.11649503
"78380","Maule",33105.83473452
"78381","Maulette",7291.52998245
"78382","Maurecourt",182633.31291799
"78383","Maurepas",93529.4564457
"78384","Medan",117191.95964961
"78385","Menerville",24195.28385539
"78389","Mere",29769.39712677
"78391","Mericourt",29963.81840337
"78396","Le Mesnil-le-Roi",324108.49389436
"78397","Le Mesnil-Saint-Denis",94678.33482352
"78398","Les Mesnuls",32824.00842353
"78401","Meulan-en-Yvelines",73643.692547
"78402","Mezieres-sur-Seine",53868.93102506
"78403","Mezy-sur-Seine",58726.42922075
