"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.005"
"78126","La Celle-Saint-Cloud",1201.67983276591
"78128","Cernay-la-Ville",7646.55620158216
"78133","Chambourcy",3322.9413690054
"78138","Chanteloup-les-Vignes",3161.44508008272
"78140","Chapet",4419.82802562241
"78143","Chateaufort",3501.92736780332
"78146","Chatou",426.120564223648
"78147","Chaufour-les-Bonnieres",18633.7915570296
"78152","Chavenay",4158.85100142109
"78158","Le Chesnay",539.694384258923
"78160","Chevreuse",5063.92988996083
"78162","Choisel",6465.74714528522
"78163","Civry-la-Foret",13178.0836230633
"78164","Clairefontaine-en-Yvelines",9627.66272936501
"78165","Les Clayes-sous-Bois",3134.7549002166
"78168","Coignieres",4776.70931863187
"78171","Conde-sur-Vesgre",12945.0007751192
"78172","Conflans-Sainte-Honorine",2794.98172076162
"78185","Courgent",10998.507888123
"78188","Cravent",18210.5555778493
"78189","Crespieres",5935.76797304346
"78190","Croissy-sur-Seine",1001.11312873272
"78192","Dammartin-en-Serve",11985.5279237551
"78193","Dampierre-en-Yvelines",5919.75152205539
"78194","Dannemarie",15322.4243139315
"78196","Davron",5304.47941582703
"78202","Drocourt",9721.61951365966
"78206","Ecquevilly",5283.74310021359
"78208","Elancourt",3012.24741554893
"78209","Emance",15064.3171858512
"78217","Epone",7338.36530984003
"78220","Les Essarts-le-Roi",6403.87193919037
"78224","L'Etang-la-Ville",2831.00588472432
"78227","Evecquemont",5022.9303439428
"78230","La Falaise",7374.07512134068
"78231","Favrieux",10333.0314403082
"78233","Feucherolles",4895.8653182667
"78234","Flacourt",10579.9752419218
"78236","Flexanville",9763.74319392222
"78237","Flins-Neuve-Eglise",14066.9485509937
"78238","Flins-sur-Seine",6018.69069286614
"78239","Follainville-Dennemont",8991.82990282192
"78242","Fontenay-le-Fleury",2692.85051508762
"78245","Fontenay-Mauvoisin",9836.46724193782
"78246","Fontenay-Saint-Pere",8632.89973854712
"78251","Fourqueux",3040.88815124504
"78255","Freneuse",13368.2913394978
"78261","Gaillon-sur-Montcient",6534.39958611983
